offset	bank	bank_offset	address	length	ascii_ratio	high_byte_ratio	entropy	sample_hex	sample_ascii_lossy
0x000C7E	0x00	0x0C7E	0x0C7E	8	0.625	0.25	2.75	cf677cb53e062020	.g|.>.  
0x000C93	0x00	0x0C93	0x0C93	47	0.426	0.404	4.757	0fc8ea62c63e01cdc10c3805cdd20cafc937c9cdc10ccdd20c37c94742204b49	...b.>....8......7.......7.GB KISS MENU ...|.6.
0x000CC9	0x00	0x0CC9	0x0CC9	16	0.188	0.438	3.25	c80e01cfc3cf7f1825cfc3cf73181f21	........%...s..!
0x000CDA	0x00	0x0CDA	0x0CDA	52	0.231	0.577	4.291	c7cfc3cf791816cfc3cf7d1810cfc3cf77180acfc3cf761804cfc3cf75f5cfdb	....y.....}.....w.....v.....u......- <.... .....> -.
0x000D0F	0x00	0x0D0F	0x0D0F	20	0.2	0.7	3.684	0f2d20c3ddbfb3c3deb7cfbeddc3debcc0202d0e	.- .............. -.
0x000D24	0x00	0x0D24	0x0D24	22	0.182	0.636	4.005	0f2d20b5c5bcde0ecca7b2d90fb6deb1d8cfbd202d0e	.- ................ -.
0x000E06	0x00	0x0E06	0x0E06	10	0.1	0.6	3.122	abc3cdf203e5211a0ee5	......!...
0x000E15	0x00	0x0E15	0x0E15	13	0.077	0.846	3.547	aac367e5c9e1f1c1d1c3f203f5	..g..........
0x000E31	0x00	0x0E31	0x0E31	8	0.375	0.375	3.0	03c267cb44281fe5	..g.D(..
0x000E3A	0x00	0x0E3A	0x0E3A	9	0.222	0.667	3.17	eac2cb4f2813f080f5	...O(....
0x000E4B	0x00	0x0E4B	0x0E4B	9	0.0	0.556	2.948	11f1cdf203e11804cd	.........
0x000E55	0x00	0x0E55	0x0E55	10	0.2	0.6	3.122	11e1cb74ca590fcbb5e5	...t.Y....
0x000E60	0x00	0x0E60	0x0E60	8	0.0	0.625	3.0	1cc9b7ca1d0fc5d5	........
0x000E7E	0x00	0x0E7E	0x0E7E	11	0.364	0.091	2.914	20c9571a22131a2213011e	" .W.""..""..."
0x000E8A	0x00	0x0E8A	0x0E8A	8	0.25	0.125	2.25	091a22131a2213e1	".."".."".."
0x000E96	0x00	0x0E96	0x0E96	10	0.2	0.5	3.122	11c2be0ef04ff601e04f	.....O...O
0x000EA5	0x00	0x0EA5	0x0EA5	11	0.364	0.091	2.664	22c9571a22131a2213011e	""".W.""..""..."
0x000EB1	0x00	0x0EB1	0x0EB1	10	0.3	0.2	2.722	091a22131a2213f04fe6	"..""..""..O."
0x000ED4	0x00	0x0ED4	0x0ED4	11	0.364	0.091	2.914	26c9571a22131a2213011e	"&.W.""..""..."
0x000EE0	0x00	0x0EE0	0x0EE0	8	0.25	0.125	2.25	091a22131a2213e1	".."".."".."
0x000EEC	0x00	0x0EEC	0x0EEC	10	0.2	0.4	3.122	11c2140ff04ff601e04f	.....O...O
0x000EFB	0x00	0x0EFB	0x0EFB	11	0.364	0.091	2.914	28c9571a22131a2213011e	"(.W.""..""..."
0x000F07	0x00	0x0F07	0x0F07	10	0.3	0.2	2.722	091a22131a2213f04fe6	"..""..""..O."
0x000F12	0x00	0x0F12	0x0F12	79	0.354	0.481	4.23	e04fafea1cc9d1c1c3580fc5219cc83e800e68e20e6ae206080e692ae22ae22a	.O.......X..!..>..h..j....i*.*.*.*.*.*.*.*.. ....k*.*.*.*.*.*.*.
0x000F62	0x00	0x0F62	0x0F62	8	0.375	0.5	2.75	cb54280dcb95f044	.T(....D
0x000F6F	0x00	0x0F6F	0x0F6F	17	0.353	0.412	3.69	11c2e040cb5c2803cd3a12cb64281fcba5	...@.\(..:..d(...
0x000F99	0x00	0x0F99	0x0F99	10	0.3	0.5	3.122	0fc2e042cb6c2811cbad	...B.l(...
0x000FAE	0x00	0x0FAE	0x0FAE	26	0.346	0.577	4.21	1fc2e049cb7c2840e5c5d5211ac22af52a666fe5f081f5f080f5	...I.|(@...!..*.*fo.......
0x000FCF	0x00	0x0FCF	0x0FCF	9	0.222	0.556	3.17	24c2cdf20321e20fe5	$....!...
0x000FDD	0x00	0x0FDD	0x0FDD	25	0.28	0.6	4.134	27c267e5c9f1cdf203f1cdd503d1f1211ac222732372d1c1e1	"'.g............!..""s#r..."
0x000FF7	0x00	0x0FF7	0x0FF7	9	0.0	0.667	2.197	03c2a5ea03c2ea04c2	.........
0x001001	0x00	0x1001	0x1001	12	0.167	0.667	3.252	09c23cea09c2e1f1d9f5e53e	..<........>
0x00100E	0x00	0x100E	0x100E	11	0.273	0.364	2.664	e0073ebce0063e04e00721	..>...>...!
0x001021	0x00	0x1021	0x1021	8	0.25	0.375	2.5	0ac23cea0ac22007	..<... .
0x00102A	0x00	0x102A	0x102A	12	0.25	0.5	3.085	0bc23cea0bc2cdbc1acd692a	..<.......i*
0x001037	0x00	0x1037	0x1037	18	0.222	0.389	3.684	08c2b7280a3ce61f2005ea06c23e18ea08c2	...(.<.. ....>....
0x00104A	0x00	0x104A	0x104A	32	0.125	0.656	3.899	e8c2b7281bf081f53e03cdd503f080f53e18cdf203cde66cf1cdf203f1cdd503	...(....>.......>......l........
0x00106C	0x00	0x106C	0x106C	8	0.375	0.25	3.0	01f02709cb7c2817	..'..|(.
0x001090	0x00	0x1090	0x1090	17	0.059	0.706	3.735	cbd6e1f1d9f5e5f001ea1cc33e01ea1ac3	............>....
0x0010B6	0x00	0x10B6	0x10B6	10	0.4	0.4	3.122	8c672a666fe9d210e510	.g*fo.....
0x0010C1	0x00	0x10C1	0x10C1	36	0.167	0.472	3.989	102811361149115c118b119811d510dd10e1f1d93e02ea1ec3e1f1d93e06ea1e	.(.6.I.\............>.......>.......
0x0010E9	0x00	0x10E9	0x10E9	15	0.2	0.533	3.64	a020093eb0e0013e09ea1ec3e1f1d9	. .>...>.......
0x001101	0x00	0x1101	0x1101	11	0.455	0.455	2.664	1cc3227dea22c37cea23c3	"..""}."".|.#."
0x001111	0x00	0x1111	0x1111	23	0.391	0.478	3.795	21c3672b7dea20c37cea21c3b520053e03ea1ec3e1f1d9	!.g+}. .|.!.. .>.......
0x001129	0x00	0x1129	0x1129	18	0.167	0.556	3.35	1cc3ea24c33e04ea1ec3e1f1d93e01ea1fc3	...$.>.......>....
0x00114D	0x00	0x114D	0x114D	15	0.2	0.533	3.774	a220093eb2e0013e06ea1ec3e1f1d9	. .>...>.......
0x001161	0x00	0x1161	0x1161	14	0.5	0.429	3.182	23c3672ae0017dea22c37cea23c3	"#.g*..}."".|.#."
0x001174	0x00	0x1174	0x1174	23	0.391	0.478	3.795	21c3672b7dea20c37cea21c3b520053e07ea1ec3e1f1d9	!.g+}. .|.!.. .>.......
0x00118C	0x00	0x118C	0x118C	17	0.176	0.529	3.455	24c3e0013e08ea1ec3e1f1d93e01ea1fc3	$...>.......>....
0x0011A4	0x00	0x11A4	0x11A4	8	0.0	0.875	3.0	ea1ec3e1f1d9f5c5	........
0x0011AD	0x00	0x11AD	0x11AD	8	0.5	0.5	3.0	e1c2b72025f0454f	... %.EO
0x0011B6	0x00	0x11B6	0x11B6	11	0.273	0.636	3.278	e2c2b9200ef040cbcfe040	... ..@...@
0x0011C2	0x00	0x11C2	0x11C2	13	0.231	0.769	3.393	e3c2e045c1f1d9f040cb8fe040	...E....@...@
0x0011D0	0x00	0x11D0	0x11D0	10	0.3	0.7	3.122	e2c2e045c1f1d9f0454f	...E....EO
0x0011F3	0x00	0x11F3	0x11F3	23	0.348	0.565	4.317	e2c2e045c1f1d9c5d5afea36c20e042139c27e47b72822	"...E.......6...!9.~G.("""
0x00120F	0x00	0x120F	0x120F	23	0.652	0.217	4.23	413025ea36c2c5af222a5f2a572a4fe566691a13220520	"A0%.6...""*_*W*O.fi.."". "
